Date;Price;Open;High;Low;Vol.;Change %
12/21/2023;194.42;195.04;197.10;193.26;386.79K;-0.78%
12/20/2023;195.94;194.40;196.36;191.76;484.78K;1.31%
12/19/2023;193.40;192.00;193.40;190.84;396.22K;0.60%
12/18/2023;192.24;191.10;192.24;189.78;341.04K;-0.15%
12/15/2023;192.52;197.98;198.60;190.72;1.29M;-2.47%
12/14/2023;197.40;198.38;198.80;194.86;785.40K;1.75%
12/13/2023;194.00;194.42;196.04;193.64;414.85K;0.28%
12/12/2023;193.46;194.20;196.04;193.26;352.64K;-0.28%
12/11/2023;194.00;193.44;194.46;192.76;446.25K;0.33%
12/08/2023;193.36;192.44;194.84;191.70;572.33K;1.18%
12/07/2023;191.10;196.00;196.20;188.44;788.37K;-2.99%
12/06/2023;197.00;196.00;198.34;194.30;355.90K;0.88%
12/05/2023;195.28;194.40;195.88;193.38;359.29K;0.33%
12/04/2023;194.64;194.30;196.12;192.98;374.62K;0.21%
12/01/2023;194.24;192.40;194.60;191.94;399.39K;1.09%
11/30/2023;192.14;193.96;194.66;191.20;682.00K;-0.30%
11/29/2023;192.72;187.94;193.84;187.62;739.65K;3.25%
11/28/2023;186.66;184.00;186.82;183.46;334.52K;0.77%
11/27/2023;185.24;184.58;185.58;183.54;288.53K;0.43%
11/24/2023;184.44;185.80;185.98;183.28;300.66K;-0.72%
11/23/2023;185.78;186.72;187.30;185.00;241.49K;-0.84%
11/22/2023;187.36;185.80;187.40;185.08;449.63K;1.20%
11/21/2023;185.14;183.08;187.32;183.08;581.17K;1.89%
11/20/2023;181.70;180.00;183.78;179.94;460.64K;1.15%
11/17/2023;179.64;176.60;181.46;176.56;582.99K;1.74%
11/16/2023;176.56;178.36;179.58;175.68;447.88K;-1.32%
11/15/2023;178.92;180.00;180.92;177.26;518.24K;-0.06%
11/14/2023;179.02;170.04;179.50;169.64;972.84K;5.26%
11/13/2023;170.08;171.24;171.80;168.46;414.17K;-0.48%
11/10/2023;170.90;172.16;172.66;169.34;538.29K;-1.77%
11/09/2023;173.98;168.72;174.76;167.28;649.81K;2.57%
11/08/2023;169.62;172.70;174.12;167.36;924.85K;-1.31%
11/07/2023;171.88;171.26;172.60;169.40;479.41K;-0.07%
11/06/2023;172.00;171.02;173.32;171.02;353.00K;0.89%
11/03/2023;170.48;172.82;173.70;168.50;637.88K;-0.41%
11/02/2023;171.18;169.40;174.08;168.64;539.24K;2.50%
11/01/2023;167.00;168.30;168.42;165.08;290.83K;-0.12%
10/31/2023;167.20;166.28;167.74;165.24;381.83K;0.46%
10/30/2023;166.44;166.98;167.88;165.88;271.50K;0.08%
10/27/2023;166.30;166.34;167.42;163.56;393.51K;-0.10%
10/26/2023;166.46;167.44;169.12;165.70;511.18K;-2.94%
10/25/2023;171.50;170.60;172.24;169.10;430.29K;-0.30%
10/24/2023;172.02;172.72;174.08;169.42;575.15K;1.79%
10/23/2023;169.00;170.08;170.58;166.04;369.99K;-0.59%
10/20/2023;170.00;171.90;173.36;169.40;632.94K;-2.48%
10/19/2023;174.32;175.28;177.34;173.80;452.87K;-1.16%
10/18/2023;176.36;179.00;180.00;175.94;838.42K;3.16%
10/17/2023;170.96;169.94;171.30;168.22;269.61K;0.33%
10/16/2023;170.40;168.06;172.08;165.16;373.24K;1.68%
10/13/2023;167.58;169.26;170.50;167.50;399.15K;-1.39%
10/12/2023;169.94;170.74;172.76;169.64;406.61K;0.17%
10/11/2023;169.66;167.92;172.44;166.90;482.92K;-0.12%
10/10/2023;169.86;168.18;172.36;167.80;549.88K;2.26%
10/09/2023;166.10;157.98;167.80;157.70;717.68K;4.31%
10/06/2023;159.24;156.28;159.92;155.30;533.80K;1.97%
10/05/2023;156.16;162.40;163.18;154.64;817.31K;-3.68%
10/04/2023;162.12;159.50;162.70;158.34;339.49K;0.87%
10/03/2023;160.72;163.44;164.18;160.22;415.39K;-2.36%
10/02/2023;164.60;166.46;168.54;164.42;473.42K;-1.21%
09/29/2023;166.62;167.00;168.52;164.56;1.04M;6.22%
09/28/2023;156.86;157.48;157.60;155.24;501.69K;-0.48%
09/27/2023;157.62;160.00;160.80;157.36;444.21K;-1.45%
09/26/2023;159.94;160.50;162.20;159.20;450.63K;-1.03%
09/25/2023;161.60;162.08;164.18;160.58;440.42K;-1.34%
09/22/2023;163.80;161.56;164.24;161.22;479.32K;0.61%
09/21/2023;162.80;164.90;168.06;162.18;548.44K;-2.40%
09/20/2023;166.80;165.12;167.52;164.04;470.97K;0.81%
09/19/2023;165.46;168.68;168.68;163.82;491.22K;-2.44%
09/18/2023;169.60;173.64;174.66;168.78;326.00K;-2.57%
09/15/2023;174.08;173.26;175.08;172.28;1.19M;1.86%
09/14/2023;170.90;172.48;173.60;168.22;558.71K;-0.12%
09/13/2023;171.10;173.46;173.46;166.68;853.64K;-1.91%
09/12/2023;174.44;178.00;178.22;173.94;459.67K;-1.91%
09/11/2023;177.84;177.50;178.56;174.58;512.12K;1.06%
09/08/2023;175.98;177.64;178.26;174.20;517.21K;-0.06%
09/07/2023;176.08;180.90;180.90;174.10;623.19K;-3.23%
09/06/2023;181.96;181.82;184.24;181.08;337.92K;-0.50%
09/05/2023;182.88;183.84;185.04;180.46;456.48K;-1.60%
09/04/2023;185.86;186.18;188.48;184.88;265.82K;0.76%
09/01/2023;184.46;183.40;186.10;182.70;368.56K;0.02%
08/31/2023;184.42;183.50;186.44;182.54;569.16K;0.53%
08/30/2023;183.44;181.72;184.06;179.92;298.73K;1.06%
08/29/2023;181.52;178.74;182.18;177.36;387.81K;2.09%
08/28/2023;177.80;177.78;178.50;175.36;215.10K;0.77%
08/25/2023;176.44;174.78;179.50;173.96;457.45K;0.11%
08/24/2023;176.24;179.64;181.48;175.16;464.33K;-0.94%
08/23/2023;177.92;184.82;185.74;171.74;1.21M;-3.30%
08/22/2023;184.00;185.36;187.62;181.32;581.19K;0.14%
08/21/2023;183.74;184.40;188.60;183.28;326.32K;0.08%
08/18/2023;183.60;183.52;184.34;181.48;449.75K;-0.76%
08/17/2023;185.00;184.00;188.30;184.00;520.00K;-0.04%
08/16/2023;185.08;179.12;185.08;178.64;463.15K;2.97%
08/15/2023;179.74;181.00;182.78;177.08;390.40K;0.86%
08/14/2023;178.20;177.42;179.66;176.70;214.66K;0.15%
08/11/2023;177.94;181.00;181.76;177.46;367.40K;-2.47%
08/10/2023;182.44;179.44;183.10;178.44;382.53K;2.97%
08/09/2023;177.18;178.36;179.50;176.84;201.91K;0.87%
08/08/2023;175.66;178.98;178.98;174.56;366.70K;-2.10%
08/07/2023;179.42;179.82;180.14;177.56;342.36K;-1.02%
08/04/2023;181.26;182.00;182.38;178.72;317.69K;0.98%
08/03/2023;179.50;181.50;182.96;175.88;519.23K;0.47%
08/02/2023;178.66;179.00;181.04;177.40;421.72K;-2.06%
08/01/2023;182.42;184.00;184.26;182.42;294.02K;-0.86%
07/31/2023;184.00;185.20;187.28;183.84;443.00K;-0.62%
07/28/2023;185.14;181.54;186.08;179.62;430.36K;1.67%
07/27/2023;182.10;179.28;182.36;177.96;513.09K;2.60%
07/26/2023;177.48;179.00;180.44;176.96;526.31K;-2.21%
07/25/2023;181.50;181.00;186.54;179.44;1.04M;3.83%
07/24/2023;174.80;172.84;175.84;172.50;410.07K;1.22%
07/21/2023;172.70;170.42;172.88;170.38;399.08K;0.99%
07/20/2023;171.00;171.28;172.52;169.94;468.35K;-0.75%
07/19/2023;172.30;175.64;176.40;171.90;377.98K;-0.66%
07/18/2023;173.44;173.28;173.66;172.28;372.68K;0.46%
07/17/2023;172.64;171.72;173.68;170.74;334.87K;-0.36%
07/14/2023;173.26;173.16;173.66;171.80;325.20K;-0.44%
07/13/2023;174.02;174.90;175.30;172.50;302.44K;-0.07%
07/12/2023;174.14;171.76;174.56;170.36;315.72K;1.47%
07/11/2023;171.62;169.50;171.90;167.40;316.08K;2.56%
07/10/2023;167.34;167.28;167.34;165.20;233.52K;0.43%
07/07/2023;166.62;165.74;168.10;163.90;395.59K;1.14%
07/06/2023;164.74;170.94;170.94;163.88;695.46K;-5.55%
07/05/2023;174.42;178.08;178.74;173.84;448.74K;-2.36%
07/04/2023;178.64;177.42;180.50;176.78;297.68K;1.14%
07/03/2023;176.62;179.32;179.44;174.18;378.15K;-0.65%
06/30/2023;177.78;171.72;179.20;169.80;854.66K;2.46%
06/29/2023;173.52;172.30;173.52;170.66;379.20K;0.61%
06/28/2023;172.46;173.00;175.70;171.76;340.37K;-0.63%
06/27/2023;173.56;175.62;176.42;172.62;456.46K;-1.71%
06/26/2023;176.58;178.36;178.88;175.28;319.65K;-0.17%
06/23/2023;176.88;180.88;181.88;174.78;496.17K;-2.48%
06/22/2023;181.38;175.06;181.78;174.50;627.62K;2.66%
06/21/2023;176.68;172.10;177.44;171.64;633.35K;4.27%
06/20/2023;169.44;171.12;172.44;168.94;289.56K;-1.58%
06/19/2023;172.16;171.78;174.02;170.76;246.23K;-1.52%
06/16/2023;174.82;175.00;176.98;173.18;978.00K;0.37%
06/15/2023;174.18;174.62;178.82;172.34;443.80K;-0.30%
06/14/2023;174.70;173.56;174.88;172.86;387.75K;1.10%
06/13/2023;172.80;170.00;174.00;169.90;590.95K;2.35%
06/12/2023;168.84;163.34;169.12;162.82;603.05K;5.52%
06/09/2023;160.00;159.06;161.18;158.30;318.43K;0.62%
06/08/2023;159.02;157.54;160.00;157.38;226.50K;-0.15%
06/07/2023;159.26;159.60;161.70;158.66;313.97K;-0.26%
06/06/2023;159.68;157.66;160.04;157.24;268.79K;0.87%
06/05/2023;158.30;159.12;160.34;157.70;313.51K;-0.76%
06/02/2023;159.52;153.30;160.04;153.30;605.37K;5.82%
06/01/2023;150.74;152.96;153.36;147.62;385.63K;-0.50%
05/31/2023;151.50;153.38;154.18;151.16;889.03K;-2.48%
05/30/2023;155.36;154.86;157.18;154.44;262.89K;0.67%
05/29/2023;154.32;156.64;156.64;153.50;137.83K;-0.72%
05/26/2023;155.44;154.00;155.96;151.96;268.45K;0.96%
05/25/2023;153.96;154.48;155.16;151.46;359.48K;-0.08%
05/24/2023;154.08;158.20;158.24;153.40;463.72K;-3.26%
05/23/2023;159.28;162.48;163.18;158.60;437.58K;-1.81%
05/22/2023;162.22;158.42;163.16;158.42;493.29K;2.01%
05/19/2023;159.02;165.04;165.22;157.82;1.16M;-3.30%
05/18/2023;164.44;164.88;166.26;162.84;271.52K;1.11%
05/17/2023;162.64;161.40;162.88;159.34;309.00K;0.32%
05/16/2023;162.12;165.36;166.40;161.50;457.41K;-2.44%
05/15/2023;166.18;166.28;166.60;164.94;280.87K;0.81%
05/12/2023;164.84;167.62;168.20;163.84;363.25K;-1.38%
