Date;Price;Open;High;Low;Vol.;Change %
12/21/2023;1.3275;1.3265;1.4140;1.3020;579.73M;-0.04%
12/20/2023;1.3280;1.2160;1.3280;1.2075;455.84M;10.44%
12/19/2023;1.2025;1.2300;1.2305;1.1800;131.80M;-0.74%
12/18/2023;1.2115;1.1600;1.2600;1.1550;356.96M;4.71%
12/15/2023;1.1570;1.1315;1.1760;1.1040;71.98M;2.25%
12/14/2023;1.1315;1.1935;1.2000;1.1255;173.72M;-3.58%
12/13/2023;1.1735;1.1290;1.2270;1.1030;342.55M;5.25%
12/12/2023;1.1150;1.1000;1.1500;1.0930;112.57M;1.00%
12/11/2023;1.1040;1.1400;1.1510;1.1035;36.60M;-3.16%
12/08/2023;1.1400;1.1575;1.1950;1.1110;59.78M;-1.51%
12/07/2023;1.1575;1.1330;1.1700;1.0840;67.37M;2.89%
12/06/2023;1.1250;1.1650;1.1650;1.1060;65.16M;-2.30%
12/05/2023;1.1515;1.1570;1.2040;1.1210;108.48M;-1.75%
12/04/2023;1.1720;1.2650;1.2730;1.1720;92.51M;-7.35%
12/01/2023;1.2650;1.3020;1.3690;1.2615;97.85M;-1.86%
11/30/2023;1.2890;1.2740;1.3300;1.2610;61.72M;-0.85%
11/29/2023;1.3000;1.3175;1.3695;1.2735;207.62M;-1.03%
11/28/2023;1.3135;1.3500;1.3575;1.2890;61.93M;-2.70%
11/27/2023;1.3500;1.4145;1.4250;1.3300;55.84M;-3.50%
11/24/2023;1.3990;1.3915;1.4355;1.3300;77.67M;0.54%
11/23/2023;1.3915;1.4525;1.4530;1.3730;79.31M;-3.70%
11/22/2023;1.4450;1.4000;1.4780;1.3750;190.60M;4.48%
11/21/2023;1.3830;1.3595;1.4445;1.3105;223.06M;0.95%
11/20/2023;1.3700;1.5300;1.6175;1.3560;442.44M;-6.83%
11/17/2023;1.4705;1.5410;1.6365;1.4260;223.65M;-3.26%
11/16/2023;1.5200;1.3795;1.5440;1.3790;434.46M;11.76%
11/15/2023;1.3600;1.2135;1.4870;1.1700;539.11M;12.07%
11/14/2023;1.2135;1.4200;1.4290;1.2135;238.24M;-15.14%
11/13/2023;1.4300;1.6500;1.6690;1.3625;378.42M;-13.12%
11/10/2023;1.6460;1.7300;1.7310;1.6060;167.17M;-4.55%
11/09/2023;1.7245;1.7745;1.7755;1.7225;44.09M;-2.79%
11/08/2023;1.7740;1.7765;1.7830;1.7685;22.96M;0.06%
11/07/2023;1.7730;1.7895;1.7895;1.7625;20.26M;-0.67%
11/06/2023;1.7850;1.7635;1.7995;1.7635;23.92M;1.22%
11/03/2023;1.7635;1.7980;1.8095;1.7600;38.46M;-1.23%
11/02/2023;1.7855;1.8890;1.9160;1.7800;119.49M;-4.37%
11/01/2023;1.8670;1.7585;2.0185;1.7475;458.77M;6.50%
10/31/2023;1.7530;1.7860;1.8220;1.7305;89.83M;-2.07%
10/30/2023;1.7900;1.8095;1.8450;1.7800;34.38M;-1.02%
10/27/2023;1.8085;1.8300;1.8850;1.7555;74.09M;0.03%
10/26/2023;1.8080;1.8850;1.9000;1.8010;59.11M;-3.75%
10/25/2023;1.8785;1.8640;1.9400;1.8250;103.63M;0.89%
10/24/2023;1.8620;1.8540;1.8950;1.8245;54.92M;0.05%
10/23/2023;1.8610;1.8990;1.8990;1.8315;40.81M;-1.30%
10/20/2023;1.8855;1.9010;1.9165;1.8300;63.43M;-0.66%
10/19/2023;1.8980;1.9200;1.9200;1.8900;23.47M;-0.81%
10/18/2023;1.9135;1.8950;2.0300;1.8830;289.58M;1.67%
10/17/2023;1.8820;1.9100;1.9175;1.8500;56.60M;-0.53%
10/16/2023;1.8920;1.9000;1.9480;1.8805;53.31M;0.08%
10/13/2023;1.8905;1.9000;1.9600;1.8490;116.02M;2.19%
10/12/2023;1.8500;1.8700;1.8850;1.8100;57.96M;-2.06%
10/11/2023;1.8890;1.9300;1.9880;1.8715;137.75M;-1.46%
10/10/2023;1.9170;2.0100;2.1140;1.9080;363.29M;-3.08%
10/09/2023;1.9780;1.7840;2.0070;1.6840;788.99M;10.87%
10/06/2023;1.7840;1.9000;1.9035;1.7500;250.24M;-6.11%
10/05/2023;1.9000;1.9460;1.9460;1.9000;65.29M;-2.39%
10/04/2023;1.9465;1.9300;1.9595;1.9025;59.10M;0.93%
10/03/2023;1.9285;1.9900;2.0295;1.9025;182.44M;-3.86%
10/02/2023;2.0060;2.0400;2.0650;1.9925;100.74M;-1.23%
09/29/2023;2.0310;2.1120;2.1130;2.0155;158.34M;-2.96%
09/28/2023;2.0930;2.1825;2.1875;2.0510;164.13M;-1.81%
09/27/2023;2.1315;2.2000;2.2310;2.1030;188.69M;-1.77%
09/26/2023;2.1700;2.1380;2.2275;2.0705;443.20M;2.12%
09/25/2023;2.1250;2.0700;2.1365;2.0470;145.74M;3.61%
09/22/2023;2.0510;2.0750;2.1460;2.0200;161.26M;-1.63%
09/21/2023;2.0850;2.1285;2.1995;1.9695;231.65M;0.72%
09/20/2023;2.0700;2.1200;2.1285;1.9125;326.42M;-3.04%
09/19/2023;2.1350;2.1200;2.2600;2.0765;417.98M;-5.88%
09/18/2023;2.2685;2.4315;2.4315;2.1330;589.37M;2.48%
09/15/2023;2.2135;2.0290;2.2135;1.9130;404.75M;9.25%
09/14/2023;2.0260;2.2700;2.3100;1.7455;750.92M;-13.05%
09/13/2023;2.3300;2.4210;2.4300;2.2900;203.39M;-2.92%
09/12/2023;2.4000;2.3700;2.4090;2.2585;304.44M;0.63%
09/11/2023;2.3850;2.6095;2.6100;2.3610;316.62M;-3.75%
09/08/2023;2.4780;2.4000;2.5955;2.2630;465.46M;2.54%
09/07/2023;2.4165;2.5675;2.5675;2.2050;568.39M;-5.24%
09/06/2023;2.5500;2.9010;2.9010;2.0900;1.16B;-3.37%
09/05/2023;2.6390;2.6390;2.6390;2.5690;87.09M;9.91%
09/04/2023;2.4010;2.4010;2.4010;2.3155;143.54M;9.84%
09/01/2023;2.1860;1.9900;2.1860;1.9005;734.21M;9.88%
08/31/2023;1.9895;2.1895;2.1895;1.8570;1.23B;-9.16%
08/30/2023;2.1900;2.5000;2.5500;2.1900;997.44M;-8.75%
08/29/2023;2.4000;1.8900;2.5750;1.8300;4.31B;35.21%
08/28/2023;1.7750;1.3590;1.8000;1.2615;3.23B;43.67%
08/25/2023;1.2355;1.1850;1.2660;1.1550;654.65M;5.24%
08/24/2023;1.1740;1.1870;1.2200;1.1570;248.53M;-2.13%
08/23/2023;1.1995;1.2000;1.2200;1.1105;560.20M;4.30%
08/22/2023;1.1500;1.1445;1.1685;1.0870;323.15M;-0.30%
08/21/2023;1.1535;1.1410;1.2600;1.1105;1.59B;5.87%
08/18/2023;1.0895;0.8850;1.1395;0.8325;2.69B;31.34%
08/17/2023;0.8295;0.8500;0.8500;0.8105;203.46M;0.55%
08/16/2023;0.8250;0.8790;0.8850;0.7705;320.64M;-4.95%
08/15/2023;0.8680;0.8315;0.8950;0.7370;435.63M;3.77%
08/14/2023;0.8365;0.8400;0.9000;0.8255;789.33M;2.45%
08/11/2023;0.8165;0.7720;0.8400;0.7550;794.53M;7.22%
08/10/2023;0.7615;0.7710;0.7710;0.7510;48.26M;0.33%
08/09/2023;0.7590;0.7400;0.7720;0.7385;101.40M;2.85%
08/08/2023;0.7380;0.7580;0.7580;0.7155;59.14M;-1.07%
08/07/2023;0.7460;0.7580;0.7625;0.7400;82.17M;-0.27%
08/04/2023;0.7480;0.7700;0.7850;0.7105;260.99M;-2.79%
08/03/2023;0.7695;0.7680;0.7745;0.7600;128.80M;0.20%
08/02/2023;0.7680;0.7780;0.7800;0.7665;43.04M;-0.65%
08/01/2023;0.7730;0.7815;0.7840;0.7675;37.17M;-0.64%
07/31/2023;0.7780;0.7885;0.7890;0.7770;61.24M;0.13%
07/28/2023;0.7770;0.7830;0.7865;0.7630;65.16M;-0.26%
07/27/2023;0.7790;0.7880;0.7880;0.7715;38.75M;0.65%
07/26/2023;0.7740;0.7665;0.7980;0.7665;102.24M;1.04%
07/25/2023;0.7660;0.7610;0.8000;0.7505;274.38M;0.92%
07/24/2023;0.7590;0.7630;0.7775;0.7555;37.55M;-0.52%
07/21/2023;0.7630;0.7415;0.7850;0.7315;110.62M;3.25%
07/20/2023;0.7390;0.7595;0.7595;0.7315;28.02M;-1.27%
07/19/2023;0.7485;0.7505;0.7585;0.7415;35.94M;0.40%
07/18/2023;0.7455;0.7420;0.7485;0.7405;32.26M;0.54%
07/17/2023;0.7415;0.7405;0.7495;0.7390;15.92M;0.14%
07/14/2023;0.7405;0.7400;0.7475;0.7330;9.02M;-0.40%
07/13/2023;0.7435;0.7560;0.7570;0.7370;19.50M;-1.20%
07/12/2023;0.7525;0.7490;0.7575;0.7440;19.64M;1.01%
07/11/2023;0.7450;0.7420;0.7485;0.7380;15.62M;0.40%
07/10/2023;0.7420;0.7350;0.7600;0.7310;33.17M;1.57%
07/07/2023;0.7305;0.7340;0.7350;0.7210;12.91M;-0.48%
07/06/2023;0.7340;0.7395;0.7510;0.7210;34.12M;-0.74%
07/05/2023;0.7395;0.7550;0.7550;0.7115;44.60M;-1.99%
07/04/2023;0.7545;0.7800;0.7800;0.7495;30.98M;-2.08%
07/03/2023;0.7705;0.7540;0.7705;0.7450;50.02M;2.53%
06/30/2023;0.7515;0.7510;0.7700;0.7470;25.21M;0.07%
