Date;Price;Open;High;Low;Vol.;Change %
12/21/2023;99.550;98.980;99.610;98.140;718.12K;-0.87%
12/20/2023;100.420;101.320;101.860;100.280;570.72K;-0.46%
12/19/2023;100.880;100.520;101.360;100.100;772.18K;-0.14%
12/18/2023;101.020;102.400;102.560;100.860;791.89K;-1.98%
12/15/2023;103.060;103.200;105.140;103.040;3.10M;0.51%
12/14/2023;102.540;101.580;103.960;101.200;1.53M;2.86%
12/13/2023;99.690;100.920;101.240;99.690;800.11K;-1.24%
12/12/2023;100.940;101.660;102.160;100.940;965.72K;-0.36%
12/11/2023;101.300;100.900;101.860;100.440;934.47K;0.38%
12/08/2023;100.920;98.650;101.560;98.540;1.44M;2.35%
12/07/2023;98.600;99.060;99.220;98.360;920.50K;-0.75%
12/06/2023;99.350;97.990;99.820;97.610;1.09M;1.73%
12/05/2023;97.660;96.200;97.660;96.010;931.77K;1.56%
12/04/2023;96.160;95.960;96.420;94.730;850.66K;-0.03%
12/01/2023;96.190;95.940;96.190;95.170;731.83K;0.63%
11/30/2023;95.590;96.500;96.940;95.560;2.86M;-0.50%
11/29/2023;96.070;94.090;96.480;93.740;1.18M;3.12%
11/28/2023;93.160;92.990;93.220;92.300;574.85K;-0.29%
11/27/2023;93.430;94.320;94.390;93.190;623.77K;-0.66%
11/24/2023;94.050;94.000;94.160;92.950;824.51K;-0.08%
11/23/2023;94.130;94.500;94.860;94.120;485.70K;-0.12%
11/22/2023;94.240;93.900;94.570;93.240;911.57K;0.74%
11/21/2023;93.550;95.210;95.370;93.550;1.00M;-2.29%
11/20/2023;95.740;95.430;95.800;94.960;623.63K;0.57%
11/17/2023;95.200;94.200;95.670;94.180;1.07M;1.22%
11/16/2023;94.050;95.890;96.580;94.050;916.07K;-2.08%
11/15/2023;96.050;94.650;96.210;94.370;1.03M;2.00%
11/14/2023;94.170;92.600;94.410;92.400;1.17M;2.25%
11/13/2023;92.100;91.320;92.100;90.940;739.54K;1.01%
11/10/2023;91.180;91.550;91.640;90.430;796.61K;-1.12%
11/09/2023;92.210;92.270;92.940;91.840;638.50K;0.13%
11/08/2023;92.090;91.100;92.640;90.710;984.55K;0.85%
11/07/2023;91.310;92.500;93.190;91.080;799.18K;-1.64%
11/06/2023;92.830;94.400;94.540;92.600;928.78K;-0.13%
11/03/2023;92.950;93.010;94.650;92.210;1.76M;2.04%
11/02/2023;91.090;90.000;91.540;89.660;1.23M;2.35%
11/01/2023;89.000;88.400;89.440;87.340;959.23K;1.56%
10/31/2023;87.630;87.620;87.920;86.800;906.04K;-0.09%
10/30/2023;87.710;88.710;89.430;87.380;990.22K;-0.88%
10/27/2023;88.490;89.030;90.610;88.260;1.02M;-0.16%
10/26/2023;88.630;88.920;89.130;87.170;1.75M;-3.01%
10/25/2023;91.380;92.440;92.510;90.600;985.25K;-1.22%
10/24/2023;92.510;93.030;93.390;92.200;712.25K;-0.86%
10/23/2023;93.310;93.600;93.750;91.710;948.08K;-0.27%
10/20/2023;93.560;94.790;94.800;93.130;1.48M;-1.84%
10/19/2023;95.310;96.040;96.690;95.100;1.02M;-2.66%
10/18/2023;97.910;98.590;99.090;97.680;673.25K;-0.36%
10/17/2023;98.260;97.950;98.540;97.280;530.41K;-0.39%
10/16/2023;98.640;98.080;98.890;97.160;588.88K;0.90%
10/13/2023;97.760;98.410;99.160;97.490;699.59K;-0.69%
10/12/2023;98.440;99.450;99.460;97.890;565.38K;-0.06%
10/11/2023;98.500;97.140;98.700;96.500;1.17M;1.00%
10/10/2023;97.520;95.360;97.730;95.300;976.58K;3.03%
10/09/2023;94.650;95.140;95.140;93.710;561.85K;-1.11%
10/06/2023;95.710;94.290;95.710;93.990;1.01M;1.51%
10/05/2023;94.290;95.170;95.620;94.170;595.09K;-1.16%
10/04/2023;95.400;95.000;95.930;93.660;958.14K;0.10%
10/03/2023;95.300;95.950;96.500;95.230;698.28K;-0.90%
10/02/2023;96.170;97.020;97.410;95.770;734.36K;-0.22%
09/29/2023;96.380;97.340;97.680;96.330;986.00K;-0.79%
09/28/2023;97.150;96.900;97.200;95.890;961.26K;0.38%
09/27/2023;96.780;95.480;97.100;95.380;797.23K;0.83%
09/26/2023;95.980;97.320;97.320;95.300;841.84K;-1.33%
09/25/2023;97.270;98.440;98.900;96.790;932.10K;-2.01%
09/22/2023;99.270;98.930;99.400;98.110;748.23K;-0.19%
09/21/2023;99.460;99.590;100.000;98.950;917.83K;-0.78%
09/20/2023;100.240;97.920;100.420;97.840;984.06K;2.64%
09/19/2023;97.660;96.870;98.080;96.700;690.35K;0.91%
09/18/2023;96.780;97.370;97.450;96.250;733.53K;-0.75%
09/15/2023;97.510;97.000;98.210;96.410;2.79M;1.66%
09/14/2023;95.920;96.420;96.470;95.060;1.14M;-1.46%
09/13/2023;97.340;96.400;100.000;96.300;1.31M;0.75%
09/12/2023;96.620;96.890;97.560;96.080;867.44K;0.09%
09/11/2023;96.530;96.170;96.930;96.060;753.70K;0.95%
09/08/2023;95.620;95.580;95.880;93.620;853.58K;0.62%
09/07/2023;95.030;95.650;96.340;95.020;823.87K;-1.32%
09/06/2023;96.300;96.130;96.970;95.830;767.66K;-0.24%
09/05/2023;96.530;94.010;96.630;93.740;1.16M;2.17%
09/04/2023;94.480;94.600;95.350;94.480;810.30K;0.30%
09/01/2023;94.200;96.930;96.970;93.780;1.65M;-3.06%
08/31/2023;97.170;97.400;97.880;97.000;3.72M;-0.09%
08/30/2023;97.260;97.930;98.050;96.740;657.78K;-0.33%
08/29/2023;97.580;96.790;97.580;96.480;790.00K;1.01%
08/28/2023;96.600;97.400;97.550;95.640;786.27K;0.09%
08/25/2023;96.510;96.500;97.190;96.110;798.29K;-0.28%
08/24/2023;96.780;99.070;99.330;96.700;923.34K;-1.68%
08/23/2023;98.430;99.620;99.900;98.290;867.74K;-1.27%
