Date;Price;Open;High;Low;Vol.;Change %
12/21/2023;6702.0;6730.0;6773.5;6644.5;1.04M;-0.49%
12/20/2023;6735.0;6709.5;6849.0;6696.0;978.87K;0.39%
12/19/2023;6709.0;6735.0;6771.0;6690.0;679.32K;-0.22%
12/18/2023;6723.5;6580.0;6761.5;6526.0;1.26M;2.49%
12/15/2023;6560.0;6397.0;6632.0;6381.0;2.43M;-4.37%
12/14/2023;6860.0;7040.0;7084.5;6850.5;1.22M;-2.61%
12/13/2023;7043.5;7000.0;7062.5;6914.0;572.31K;0.41%
12/12/2023;7014.5;7000.0;7100.0;6813.0;1.40M;0.54%
12/11/2023;6977.0;7183.0;7189.0;6929.0;1.03M;-2.28%
12/08/2023;7140.0;7119.0;7173.0;7092.0;425.36K;0.68%
12/07/2023;7092.0;7145.0;7173.0;7071.0;477.11K;-0.64%
12/06/2023;7138.0;7269.0;7275.0;7051.5;649.13K;-1.52%
12/05/2023;7248.5;7136.0;7250.0;7136.0;557.09K;1.63%
12/04/2023;7132.5;7170.0;7199.5;7110.5;669.87K;-0.60%
12/01/2023;7175.5;7239.0;7272.5;7162.5;491.06K;-0.88%
11/30/2023;7239.0;7205.5;7285.5;7170.0;609.31K;0.51%
11/29/2023;7202.0;7229.0;7238.0;7186.0;303.51K;-0.50%
11/28/2023;7238.0;7223.0;7245.5;7161.0;402.14K;0.21%
11/27/2023;7222.5;7301.0;7345.0;7212.0;608.77K;-0.99%
11/24/2023;7295.0;7262.0;7320.0;7255.0;418.78K;0.51%
11/23/2023;7258.0;7301.0;7330.0;7251.5;391.94K;-0.56%
11/22/2023;7299.0;7211.0;7299.0;7207.0;677.60K;1.25%
11/21/2023;7209.0;7180.5;7216.0;7137.5;482.15K;0.20%
11/20/2023;7194.5;7225.5;7226.0;7161.0;424.45K;-0.43%
11/17/2023;7225.5;7135.5;7234.0;7080.5;764.21K;1.26%
11/16/2023;7135.5;7221.5;7236.0;7120.5;556.00K;-1.23%
11/15/2023;7224.0;7184.0;7257.0;7138.0;609.13K;0.33%
11/14/2023;7200.0;7285.0;7285.0;7165.0;611.77K;-1.06%
11/13/2023;7277.5;7296.0;7325.0;7270.0;443.49K;-0.15%
11/10/2023;7288.5;7270.0;7304.5;7238.5;496.78K;0.39%
11/09/2023;7260.0;7291.0;7307.0;7221.0;587.98K;-0.48%
11/08/2023;7295.0;7341.0;7373.0;7277.0;579.53K;-0.52%
11/07/2023;7333.5;7370.0;7380.0;7295.5;594.82K;-0.58%
11/06/2023;7376.0;7243.0;7387.5;7221.0;642.15K;1.91%
11/03/2023;7238.0;7268.0;7278.0;7210.5;364.96K;-0.21%
11/02/2023;7253.5;7257.5;7292.0;7217.0;477.29K;0.19%
11/01/2023;7240.0;7152.0;7266.0;7130.5;612.59K;1.25%
10/31/2023;7150.5;7231.0;7264.0;7107.0;1.02M;-1.35%
10/30/2023;7248.0;7299.5;7315.0;7228.0;769.66K;-0.96%
10/27/2023;7318.0;7227.0;7338.0;7136.5;1.81M;1.24%
10/26/2023;7228.5;7455.0;7498.0;7211.0;2.89M;-2.81%
10/25/2023;7437.5;7430.0;7444.0;7207.0;1.32M;-0.09%
10/24/2023;7444.0;7478.0;7487.5;7417.0;818.52K;-0.25%
10/23/2023;7462.5;7510.5;7549.0;7452.5;858.64K;-0.39%
10/20/2023;7491.5;7499.5;7509.5;7405.0;982.82K;0.07%
10/19/2023;7486.0;7480.0;7495.0;7416.5;984.45K;-0.03%
10/18/2023;7488.0;7399.0;7535.0;7365.0;2.59M;1.40%
10/17/2023;7384.5;7347.5;7394.0;7264.0;1.63M;0.67%
10/16/2023;7335.0;7275.0;7349.0;7234.5;1.47M;1.26%
10/13/2023;7244.0;7143.0;7250.0;7136.0;1.68M;1.74%
10/12/2023;7120.0;6862.5;7154.0;6848.0;2.72M;3.33%
10/11/2023;6890.5;6864.5;7099.5;6835.5;3.47M;0.54%
10/10/2023;6853.5;6874.0;6880.0;6822.5;552.20K;-0.15%
10/09/2023;6863.5;6880.0;6895.5;6822.0;1.11M;0.98%
10/06/2023;6797.0;6749.5;6797.0;6717.0;786.72K;1.12%
10/05/2023;6721.5;6706.0;6759.5;6645.0;741.32K;0.92%
10/04/2023;6660.5;6740.0;6815.0;6659.5;905.83K;-1.39%
10/03/2023;6754.5;6720.0;6784.0;6636.5;954.48K;0.51%
10/02/2023;6720.0;6716.5;6797.5;6658.5;1.11M;0.64%
09/29/2023;6677.0;6650.0;6700.0;6603.5;958.78K;0.47%
09/28/2023;6645.5;6502.0;6645.5;6501.5;987.31K;2.40%
09/27/2023;6490.0;6412.0;6500.0;6404.5;730.31K;1.63%
09/26/2023;6386.0;6430.0;6438.0;6322.0;940.34K;-0.98%
09/25/2023;6449.0;6500.0;6525.0;6426.0;691.00K;-0.71%
09/22/2023;6495.0;6397.0;6517.0;6305.0;1.11M;1.82%
09/21/2023;6379.0;6400.0;6428.0;6350.0;1.46M;-0.69%
09/20/2023;6423.0;6350.0;6499.0;6280.0;1.87M;1.25%
09/19/2023;6344.0;6525.5;6560.0;6326.5;1.53M;-2.79%
09/18/2023;6526.0;6600.0;6655.0;6476.0;918.19K;-0.41%
09/15/2023;6553.0;6520.0;6609.0;6501.0;1.22M;0.52%
09/14/2023;6519.0;6603.0;6633.0;6346.0;2.07M;-1.38%
