Date;Price;Open;High;Low;Vol.;Change %
12/21/2023;46.680;46.750;46.800;46.110;842.06K;-1.33%
12/20/2023;47.310;47.630;48.080;47.170;570.85K;-0.65%
12/19/2023;47.620;48.000;48.350;47.520;914.19K;-1.29%
12/18/2023;48.240;47.870;48.670;47.360;1.06M;-0.06%
12/15/2023;48.270;48.750;49.450;48.200;2.00M;-0.25%
12/14/2023;48.390;47.360;48.830;47.160;2.56M;4.09%
12/13/2023;46.490;46.760;47.170;46.490;657.69K;-0.73%
12/12/2023;46.830;47.440;47.680;46.830;689.35K;-0.80%
12/11/2023;47.210;47.180;47.650;46.660;588.37K;0.13%
12/08/2023;47.150;46.870;47.260;46.570;581.89K;0.55%
12/07/2023;46.890;46.980;47.080;46.370;729.44K;-0.87%
12/06/2023;47.300;46.260;47.850;46.170;1.50M;3.10%
12/05/2023;45.880;45.190;45.960;45.100;559.39K;1.19%
12/04/2023;45.340;45.190;45.520;44.910;650.74K;0.40%
12/01/2023;45.160;45.100;45.220;44.560;635.32K;0.67%
11/30/2023;44.860;45.480;45.680;44.690;1.16M;-0.77%
11/29/2023;45.210;44.420;45.770;44.420;1.28M;1.87%
11/28/2023;44.380;44.440;44.490;43.910;650.99K;-0.65%
11/27/2023;44.670;44.990;45.000;44.160;819.74K;-0.65%
11/24/2023;44.960;44.850;45.110;44.100;861.45K;-0.35%
11/23/2023;45.120;45.530;45.780;45.040;814.97K;-0.97%
11/22/2023;45.560;45.830;46.190;45.520;544.38K;-0.74%
11/21/2023;45.900;46.460;46.690;45.870;645.52K;-1.71%
11/20/2023;46.700;46.510;47.030;46.220;854.05K;1.19%
11/17/2023;46.150;45.920;46.690;45.900;556.20K;0.46%
11/16/2023;45.940;46.370;46.980;45.780;892.32K;-1.63%
11/15/2023;46.700;46.000;47.190;45.800;962.46K;2.23%
11/14/2023;45.680;44.400;46.110;44.260;1.48M;3.51%
11/13/2023;44.130;43.800;44.400;43.690;590.75K;0.80%
11/10/2023;43.780;44.010;44.090;43.470;670.45K;-1.49%
11/09/2023;44.440;44.580;44.860;44.150;473.60K;0.20%
11/08/2023;44.350;43.930;44.750;43.750;454.89K;0.43%
11/07/2023;44.160;44.360;44.760;43.940;612.69K;-1.23%
11/06/2023;44.710;45.020;45.300;44.620;504.76K;-0.11%
11/03/2023;44.760;44.180;45.280;44.030;1.73M;2.57%
11/02/2023;43.640;43.050;44.110;42.870;1.28M;2.59%
11/01/2023;42.540;42.550;42.700;42.140;572.76K;0.93%
10/31/2023;42.150;42.040;42.470;41.700;821.50K;0.48%
10/30/2023;41.950;42.340;42.620;41.800;828.68K;-0.73%
10/27/2023;42.260;42.720;43.150;41.990;1.05M;-1.03%
10/26/2023;42.700;42.510;42.910;41.650;1.12M;-1.13%
10/25/2023;43.190;43.450;43.490;42.710;748.21K;-0.35%
10/24/2023;43.340;43.540;43.630;43.150;657.81K;-1.01%
10/23/2023;43.780;44.850;44.860;43.150;1.61M;-1.84%
10/20/2023;44.600;45.410;45.410;44.450;1.65M;-2.64%
10/19/2023;45.810;46.000;46.650;45.320;935.06K;-1.23%
10/18/2023;46.380;46.640;47.060;46.270;402.86K;-0.58%
10/17/2023;46.650;46.800;46.800;46.020;693.97K;-0.43%
10/16/2023;46.850;46.570;47.120;46.230;482.63K;0.69%
10/13/2023;46.530;47.000;47.310;46.400;623.77K;-1.21%
10/12/2023;47.100;47.540;47.910;47.030;535.20K;-0.13%
10/11/2023;47.160;46.410;47.560;46.190;826.08K;1.25%
10/10/2023;46.580;45.890;47.160;45.890;1.30M;1.81%
10/09/2023;45.750;45.900;45.960;45.400;511.15K;-0.72%
10/06/2023;46.080;46.000;46.450;45.620;619.81K;0.24%
10/05/2023;45.970;46.080;46.330;45.900;376.66K;-0.41%
10/04/2023;46.160;45.790;46.310;45.060;510.87K;-0.02%
10/03/2023;46.170;46.500;46.620;45.990;492.78K;-1.03%
10/02/2023;46.650;46.900;47.470;46.430;539.43K;0.00%
09/29/2023;46.650;46.430;46.960;46.320;678.33K;0.95%
09/28/2023;46.210;46.530;46.560;45.550;1.15M;-1.05%
09/27/2023;46.700;46.900;47.310;46.430;614.95K;-0.43%
09/26/2023;46.900;48.460;48.500;46.620;1.68M;-3.50%
09/25/2023;48.600;48.850;48.850;48.170;553.22K;-0.82%
09/22/2023;49.000;48.640;49.290;48.340;605.04K;0.08%
09/21/2023;48.960;49.020;49.380;48.390;683.23K;-1.07%
09/20/2023;49.490;48.200;49.850;48.200;1.17M;2.78%
09/19/2023;48.150;47.910;48.680;47.820;976.07K;0.86%
09/18/2023;47.740;49.100;49.130;47.530;1.49M;-2.59%
09/15/2023;49.010;48.900;49.340;48.620;1.56M;0.99%
09/14/2023;48.530;48.800;48.820;47.760;889.83K;-0.66%
09/13/2023;48.850;48.860;50.320;48.730;852.04K;-0.10%
09/12/2023;48.900;48.760;49.430;48.410;663.42K;0.91%
09/11/2023;48.460;48.280;48.670;48.170;473.49K;0.79%
09/08/2023;48.080;48.420;48.440;47.400;699.13K;-0.56%
09/07/2023;48.350;48.700;48.790;48.020;606.53K;-1.04%
